Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;10000;75;Universal;TwoChoice;0.177;0.550;0.178;1.386;;;;;;;;;
Optymistyczny;10000;90;Modular;Linear;12.405;450.500;7.673;450.500;;;;;;;;;
Optymistyczny;10000;90;Modular;Quadratic;242.639;8251.087;216.918;8251.087;;;;;;;;;
Optymistyczny;10000;90;Modular;RobinHood;40.145;450.500;6.613;450.500;;;;;;;;;
Optymistyczny;10000;90;Modular;SeparateChain;16.836;449.500;15.351;450.500;;;;;;;;;
Optymistyczny;10000;90;Modular;TwoChoice;4.958;336.972;0.135;2.864;;;;;;;;;
Optymistyczny;10000;90;Multiplicative;Linear;0.226;1.539;0.218;1.539;;;;;;;;;
Optymistyczny;10000;90;Multiplicative;Quadratic;0.355;1.781;0.232;1.781;;;;;;;;;
Optymistyczny;10000;90;Multiplicative;RobinHood;0.206;1.539;0.113;1.539;;;;;;;;;
Optymistyczny;10000;90;Multiplicative;SeparateChain;0.796;0.302;0.645;1.302;;;;;;;;;
Optymistyczny;10000;90;Multiplicative;TwoChoice;0.417;4.963;0.285;1.611;;;;;;;;;
Optymistyczny;10000;90;XOR+Shift;Linear;5.946;316.999;5.401;316.999;;;;;;;;;
Optymistyczny;10000;90;XOR+Shift;Quadratic;0.796;17.210;0.683;17.210;;;;;;;;;
Optymistyczny;10000;90;XOR+Shift;RobinHood;29.446;316.999;5.648;316.999;;;;;;;;;
Optymistyczny;10000;90;XOR+Shift;SeparateChain;0.602;1.766;0.443;2.766;;;;;;;;;
Optymistyczny;10000;90;XOR+Shift;TwoChoice;5.096;315.999;0.982;52.168;;;;;;;;;
Optymistyczny;10000;90;Universal;Linear;0.192;2.147;0.118;2.147;;;;;;;;;
Optymistyczny;10000;90;Universal;Quadratic;0.186;1.887;0.180;1.887;;;;;;;;;
Optymistyczny;10000;90;Universal;RobinHood;0.386;2.147;0.222;2.147;;;;;;;;;
Optymistyczny;10000;90;Universal;SeparateChain;0.672;0.293;0.535;1.293;;;;;;;;;
Optymistyczny;10000;90;Universal;TwoChoice;0.288;3.047;0.228;1.594;;;;;;;;;
Optymistyczny;10000;99;Modular;Linear;8.374;495.500;7.490;495.500;;;;;;;;;
Optymistyczny;10000;99;Modular;Quadratic;206.123;8410.079;193.719;8410.079;;;;;;;;;
Optymistyczny;10000;99;Modular;RobinHood;45.415;495.500;7.280;495.500;;;;;;;;;
Optymistyczny;10000;99;Modular;SeparateChain;18.590;494.500;16.233;495.500;;;;;;;;;
Optymistyczny;10000;99;Modular;TwoChoice;5.698;371.139;0.142;2.864;;;;;;;;;
Optymistyczny;10000;99;Multiplicative;Linear;0.119;1.850;0.112;1.850;;;;;;;;;
Optymistyczny;10000;99;Multiplicative;Quadratic;0.187;3.672;0.184;3.672;;;;;;;;;
Optymistyczny;10000;99;Multiplicative;RobinHood;0.241;1.850;0.127;1.850;;;;;;;;;
Optymistyczny;10000;99;Multiplicative;SeparateChain;0.397;0.320;0.302;1.320;;;;;;;;;
Optymistyczny;10000;99;Multiplicative;TwoChoice;0.473;20.291;0.180;1.697;;;;;;;;;
Optymistyczny;10000;99;XOR+Shift;Linear;5.398;350.449;5.382;350.449;;;;;;;;;
Optymistyczny;10000;99;XOR+Shift;Quadratic;0.786;21.057;0.788;21.057;;;;;;;;;
Optymistyczny;10000;99;XOR+Shift;RobinHood;33.615;350.449;6.615;350.449;;;;;;;;;
Optymistyczny;10000;99;XOR+Shift;SeparateChain;0.427;1.747;0.323;2.747;;;;;;;;;
Optymistyczny;10000;99;XOR+Shift;TwoChoice;5.403;349.449;1.053;53.311;;;;;;;;;
Optymistyczny;10000;99;Universal;Linear;0.150;2.796;0.146;2.796;;;;;;;;;
Optymistyczny;10000;99;Universal;Quadratic;0.179;2.816;0.172;2.816;;;;;;;;;
Optymistyczny;10000;99;Universal;RobinHood;0.359;2.796;0.258;2.796;;;;;;;;;
Optymistyczny;10000;99;Universal;SeparateChain;0.492;0.334;0.297;1.334;;;;;;;;;
Optymistyczny;10000;99;Universal;TwoChoice;0.423;16.929;0.186;1.727;;;;;;;;;
Optymistyczny;20000;25;Modular;Linear;1.056;125.500;1.062;125.500;;;;;;;;;
Optymistyczny;20000;25;Modular;Quadratic;84.516;7343.912;83.477;7343.912;;;;;;;;;
Optymistyczny;20000;25;Modular;RobinHood;5.827;125.500;1.058;125.500;;;;;;;;;
Optymistyczny;20000;25;Modular;SeparateChain;1.787;124.500;1.776;125.500;;;;;;;;;
Optymistyczny;20000;25;Modular;TwoChoice;0.585;74.661;0.062;2.766;;;;;;;;;
Optymistyczny;20000;25;Multiplicative;Linear;0.051;1.000;0.047;1.000;;;;;;;;;
Optymistyczny;20000;25;Multiplicative;Quadratic;0.053;1.000;0.051;1.000;;;;;;;;;
Optymistyczny;20000;25;Multiplicative;RobinHood;0.096;1.000;0.073;1.000;;;;;;;;;
Optymistyczny;20000;25;Multiplicative;SeparateChain;0.219;0.000;0.145;1.000;;;;;;;;;
