Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;80000;99;Modular;SeparateChain;425.410;494.500;437.863;495.500;;;;;;;;;
Optymistyczny;80000;99;Modular;TwoChoice;43.103;166.359;2.524;2.333;;;;;;;;;
Optymistyczny;80000;99;Multiplicative;Linear;2.801;1.088;1.028;1.088;;;;;;;;;
Optymistyczny;80000;99;Multiplicative;Quadratic;2.652;2.137;1.458;2.137;;;;;;;;;
Optymistyczny;80000;99;Multiplicative;RobinHood;1.216;1.088;0.919;1.088;;;;;;;;;
Optymistyczny;80000;99;Multiplicative;SeparateChain;10.155;0.050;10.059;1.050;;;;;;;;;
Optymistyczny;80000;99;Multiplicative;TwoChoice;2.729;2.493;2.595;1.113;;;;;;;;;
Optymistyczny;80000;99;XOR+Shift;Linear;17.702;68.079;10.312;68.079;;;;;;;;;
Optymistyczny;80000;99;XOR+Shift;Quadratic;4.223;5.495;4.416;5.495;;;;;;;;;
Optymistyczny;80000;99;XOR+Shift;RobinHood;114.753;68.079;31.255;68.079;;;;;;;;;
Optymistyczny;80000;99;XOR+Shift;SeparateChain;11.678;0.329;7.856;1.329;;;;;;;;;
Optymistyczny;80000;99;XOR+Shift;TwoChoice;12.295;67.079;1.421;1.759;;;;;;;;;
Optymistyczny;80000;99;Universal;Linear;2.005;7.765;2.331;7.765;;;;;;;;;
Optymistyczny;80000;99;Universal;Quadratic;1.577;2.740;1.459;2.740;;;;;;;;;
Optymistyczny;80000;99;Universal;RobinHood;8.425;7.765;4.867;7.765;;;;;;;;;
Optymistyczny;80000;99;Universal;SeparateChain;6.381;0.092;5.025;1.092;;;;;;;;;
Optymistyczny;80000;99;Universal;TwoChoice;2.266;7.108;1.183;1.192;;;;;;;;;
Optymistyczny;90000;25;Modular;Linear;5.049;125.500;5.255;125.500;;;;;;;;;
Optymistyczny;90000;25;Modular;Quadratic;3972.254;32823.912;3498.915;32823.912;;;;;;;;;
Optymistyczny;90000;25;Modular;RobinHood;40.395;125.500;5.812;125.500;;;;;;;;;
Optymistyczny;90000;25;Modular;SeparateChain;33.789;124.500;29.892;125.500;;;;;;;;;
Optymistyczny;90000;25;Modular;TwoChoice;2.136;6.963;1.007;2.159;;;;;;;;;
Optymistyczny;90000;25;Multiplicative;Linear;0.655;1.000;0.857;1.000;;;;;;;;;
Optymistyczny;90000;25;Multiplicative;Quadratic;0.585;1.000;0.467;1.000;;;;;;;;;
Optymistyczny;90000;25;Multiplicative;RobinHood;0.933;1.000;0.402;1.000;;;;;;;;;
Optymistyczny;90000;25;Multiplicative;SeparateChain;5.636;0.000;2.615;1.000;;;;;;;;;
Optymistyczny;90000;25;Multiplicative;TwoChoice;0.544;0.000;0.561;1.000;;;;;;;;;
Optymistyczny;90000;25;XOR+Shift;Linear;0.409;1.273;0.434;1.273;;;;;;;;;
Optymistyczny;90000;25;XOR+Shift;Quadratic;0.425;1.253;0.499;1.253;;;;;;;;;
Optymistyczny;90000;25;XOR+Shift;RobinHood;0.943;1.273;0.843;1.273;;;;;;;;;
Optymistyczny;90000;25;XOR+Shift;SeparateChain;3.194;0.161;3.063;1.161;;;;;;;;;
Optymistyczny;90000;25;XOR+Shift;TwoChoice;1.335;0.273;1.598;1.320;;;;;;;;;
Optymistyczny;90000;25;Universal;Linear;0.651;1.000;0.909;1.000;;;;;;;;;
Optymistyczny;90000;25;Universal;Quadratic;1.542;1.000;0.909;1.000;;;;;;;;;
Optymistyczny;90000;25;Universal;RobinHood;2.072;1.000;1.865;1.000;;;;;;;;;
Optymistyczny;90000;25;Universal;SeparateChain;7.775;0.000;5.824;1.000;;;;;;;;;
Optymistyczny;90000;25;Universal;TwoChoice;0.556;0.000;0.622;1.000;;;;;;;;;
Optymistyczny;90000;50;Modular;Linear;45.791;250.500;36.303;250.500;;;;;;;;;
Optymistyczny;90000;50;Modular;Quadratic;8810.388;-34031.762;10794.643;-34031.762;;;;;;;;;
Optymistyczny;90000;50;Modular;RobinHood;103.442;250.500;18.230;250.500;;;;;;;;;
Optymistyczny;90000;50;Modular;SeparateChain;69.336;249.500;66.391;250.500;;;;;;;;;
Optymistyczny;90000;50;Modular;TwoChoice;2.039;18.653;0.683;2.197;;;;;;;;;
Optymistyczny;90000;50;Multiplicative;Linear;0.981;1.000;0.687;1.000;;;;;;;;;
Optymistyczny;90000;50;Multiplicative;Quadratic;1.188;1.000;0.695;1.000;;;;;;;;;
Optymistyczny;90000;50;Multiplicative;RobinHood;1.457;1.000;0.685;1.000;;;;;;;;;
Optymistyczny;90000;50;Multiplicative;SeparateChain;3.273;0.000;1.679;1.000;;;;;;;;;
Optymistyczny;90000;50;Multiplicative;TwoChoice;0.564;0.000;0.783;1.000;;;;;;;;;
Optymistyczny;90000;50;XOR+Shift;Linear;0.670;1.442;0.579;1.442;;;;;;;;;
Optymistyczny;90000;50;XOR+Shift;Quadratic;0.780;1.381;0.774;1.381;;;;;;;;;
Optymistyczny;90000;50;XOR+Shift;RobinHood;1.317;1.442;1.049;1.442;;;;;;;;;
Optymistyczny;90000;50;XOR+Shift;SeparateChain;3.496;0.204;2.663;1.204;;;;;;;;;
Optymistyczny;90000;50;XOR+Shift;TwoChoice;0.820;0.442;0.770;1.411;;;;;;;;;
Optymistyczny;90000;50;Universal;Linear;0.813;1.000;0.829;1.000;;;;;;;;;
Optymistyczny;90000;50;Universal;Quadratic;0.813;1.000;0.773;1.000;;;;;;;;;
Optymistyczny;90000;50;Universal;RobinHood;1.126;1.000;0.715;1.000;;;;;;;;;
Optymistyczny;90000;50;Universal;SeparateChain;5.005;0.000;4.111;1.000;;;;;;;;;
Optymistyczny;90000;50;Universal;TwoChoice;1.626;0.000;1.203;1.000;;;;;;;;;
Optymistyczny;90000;75;Modular;Linear;59.889;375.500;84.839;375.500;;;;;;;;;
Optymistyczny;90000;75;Modular;Quadratic;22547.458;7312.159;16876.247;7312.159;;;;;;;;;
Optymistyczny;90000;75;Modular;RobinHood;393.232;375.500;59.038;375.500;;;;;;;;;
Optymistyczny;90000;75;Modular;SeparateChain;231.713;374.500;225.236;375.500;;;;;;;;;
Optymistyczny;90000;75;Modular;TwoChoice;15.155;66.921;1.867;2.312;;;;;;;;;
Optymistyczny;90000;75;Multiplicative;Linear;2.049;1.012;1.004;1.012;;;;;;;;;
Optymistyczny;90000;75;Multiplicative;Quadratic;2.040;1.012;1.248;1.012;;;;;;;;;
Optymistyczny;90000;75;Multiplicative;RobinHood;1.911;1.012;1.184;1.012;;;;;;;;;
Optymistyczny;90000;75;Multiplicative;SeparateChain;8.756;0.012;5.345;1.012;;;;;;;;;
Optymistyczny;90000;75;Multiplicative;TwoChoice;1.204;0.010;2.070;1.021;;;;;;;;;
Optymistyczny;90000;75;XOR+Shift;Linear;1.723;2.246;1.901;2.246;;;;;;;;;
Optymistyczny;90000;75;XOR+Shift;Quadratic;1.703;1.798;2.079;1.798;;;;;;;;;
Optymistyczny;90000;75;XOR+Shift;RobinHood;3.912;2.246;2.644;2.246;;;;;;;;;
Optymistyczny;90000;75;XOR+Shift;SeparateChain;6.528;0.309;6.529;1.309;;;;;;;;;
Optymistyczny;90000;75;XOR+Shift;TwoChoice;2.091;1.246;1.873;1.667;;;;;;;;;
Optymistyczny;90000;75;Universal;Linear;1.318;1.000;1.177;1.000;;;;;;;;;
Optymistyczny;90000;75;Universal;Quadratic;1.236;1.000;1.129;1.000;;;;;;;;;
Optymistyczny;90000;75;Universal;RobinHood;2.176;1.000;1.071;1.000;;;;;;;;;
Optymistyczny;90000;75;Universal;SeparateChain;7.430;0.000;7.864;1.000;;;;;;;;;
Optymistyczny;90000;75;Universal;TwoChoice;1.891;0.000;2.030;1.000;;;;;;;;;
Optymistyczny;90000;90;Modular;Linear;115.206;450.500;101.491;450.500;;;;;;;;;
Optymistyczny;90000;90;Modular;Quadratic;27872.184;21093.466;18229.922;21093.466;;;;;;;;;
Optymistyczny;90000;90;Modular;RobinHood;434.292;450.500;71.965;450.500;;;;;;;;;
Optymistyczny;90000;90;Modular;SeparateChain;413.236;449.500;422.055;450.500;;;;;;;;;
Optymistyczny;90000;90;Modular;TwoChoice;21.654;132.753;2.085;2.393;;;;;;;;;
Optymistyczny;90000;90;Multiplicative;Linear;1.612;1.087;2.080;1.087;;;;;;;;;
Optymistyczny;90000;90;Multiplicative;Quadratic;2.092;1.198;1.760;1.198;;;;;;;;;
Optymistyczny;90000;90;Multiplicative;RobinHood;2.371;1.087;1.694;1.087;;;;;;;;;
Optymistyczny;90000;90;Multiplicative;SeparateChain;13.859;0.037;8.737;1.037;;;;;;;;;
Optymistyczny;90000;90;Multiplicative;TwoChoice;1.621;0.093;1.725;1.073;;;;;;;;;
Optymistyczny;90000;90;XOR+Shift;Linear;6.472;23.824;5.876;23.824;;;;;;;;;
Optymistyczny;90000;90;XOR+Shift;Quadratic;3.263;3.462;3.350;3.462;;;;;;;;;
Optymistyczny;90000;90;XOR+Shift;RobinHood;39.448;23.824;13.722;23.824;;;;;;;;;
Optymistyczny;90000;90;XOR+Shift;SeparateChain;11.505;0.399;9.262;1.399;;;;;;;;;
Optymistyczny;90000;90;XOR+Shift;TwoChoice;5.303;22.824;2.424;1.955;;;;;;;;;
Optymistyczny;90000;90;Universal;Linear;1.774;1.473;1.912;1.473;;;;;;;;;
Optymistyczny;90000;90;Universal;Quadratic;1.786;1.524;1.692;1.524;;;;;;;;;
Optymistyczny;90000;90;Universal;RobinHood;2.923;1.473;2.157;1.473;;;;;;;;;
Optymistyczny;90000;90;Universal;SeparateChain;9.049;0.046;10.325;1.046;;;;;;;;;
Optymistyczny;90000;90;Universal;TwoChoice;2.293;0.390;2.104;1.087;;;;;;;;;
Optymistyczny;90000;99;Modular;Linear;103.711;495.500;92.644;495.500;;;;;;;;;
Optymistyczny;90000;99;Modular;Quadratic;29678.492;-20846.202;26740.225;-20846.202;;;;;;;;;
Optymistyczny;90000;99;Modular;RobinHood;410.191;495.500;62.494;495.500;;;;;;;;;
Optymistyczny;90000;99;Modular;SeparateChain;410.785;494.500;416.044;495.500;;;;;;;;;
Optymistyczny;90000;99;Modular;TwoChoice;26.016;190.893;1.451;2.443;;;;;;;;;
Optymistyczny;90000;99;Multiplicative;Linear;1.060;1.797;1.137;1.797;;;;;;;;;
Optymistyczny;90000;99;Multiplicative;Quadratic;1.392;3.183;1.509;3.183;;;;;;;;;
Optymistyczny;90000;99;Multiplicative;RobinHood;2.908;1.797;1.189;1.797;;;;;;;;;
Optymistyczny;90000;99;Multiplicative;SeparateChain;6.737;0.106;7.672;1.106;;;;;;;;;
Optymistyczny;90000;99;Multiplicative;TwoChoice;2.365;1.605;2.720;1.211;;;;;;;;;
Optymistyczny;90000;99;XOR+Shift;Linear;7.685;47.531;8.002;47.531;;;;;;;;;
Optymistyczny;90000;99;XOR+Shift;Quadratic;3.364;5.846;2.851;5.846;;;;;;;;;
Optymistyczny;90000;99;XOR+Shift;RobinHood;65.411;47.531;22.291;47.531;;;;;;;;;
Optymistyczny;90000;99;XOR+Shift;SeparateChain;6.108;0.444;3.730;1.444;;;;;;;;;
Optymistyczny;90000;99;XOR+Shift;TwoChoice;7.826;46.531;1.656;2.087;;;;;;;;;
Optymistyczny;90000;99;Universal;Linear;2.145;3.524;1.442;3.524;;;;;;;;;
Optymistyczny;90000;99;Universal;Quadratic;2.530;3.537;2.389;3.537;;;;;;;;;
Optymistyczny;90000;99;Universal;RobinHood;4.184;3.524;2.765;3.524;;;;;;;;;
Optymistyczny;90000;99;Universal;SeparateChain;5.792;0.130;6.010;1.130;;;;;;;;;
Optymistyczny;90000;99;Universal;TwoChoice;2.793;3.000;2.003;1.251;;;;;;;;;
Optymistyczny;100000;25;Modular;Linear;5.973;125.500;4.800;125.500;;;;;;;;;
Optymistyczny;100000;25;Modular;Quadratic;4958.030;36463.912;3916.102;36463.912;;;;;;;;;
Optymistyczny;100000;25;Modular;RobinHood;43.254;125.500;7.087;125.500;;;;;;;;;
Optymistyczny;100000;25;Modular;SeparateChain;26.230;124.500;18.963;125.500;;;;;;;;;
Optymistyczny;100000;25;Modular;TwoChoice;0.417;0.000;0.465;1.996;;;;;;;;;
Optymistyczny;100000;25;Multiplicative;Linear;0.570;1.000;0.371;1.000;;;;;;;;;
Optymistyczny;100000;25;Multiplicative;Quadratic;0.693;1.000;0.376;1.000;;;;;;;;;
Optymistyczny;100000;25;Multiplicative;RobinHood;0.549;1.000;0.368;1.000;;;;;;;;;
Optymistyczny;100000;25;Multiplicative;SeparateChain;3.827;0.000;2.192;1.000;;;;;;;;;
Optymistyczny;100000;25;Multiplicative;TwoChoice;0.441;0.000;0.484;1.000;;;;;;;;;
Optymistyczny;100000;25;XOR+Shift;Linear;0.333;1.000;0.301;1.000;;;;;;;;;
Optymistyczny;100000;25;XOR+Shift;Quadratic;0.329;1.000;0.309;1.000;;;;;;;;;
Optymistyczny;100000;25;XOR+Shift;RobinHood;0.453;1.000;0.301;1.000;;;;;;;;;
Optymistyczny;100000;25;XOR+Shift;SeparateChain;1.944;0.000;1.631;1.000;;;;;;;;;
Optymistyczny;100000;25;XOR+Shift;TwoChoice;0.390;0.000;0.417;1.000;;;;;;;;;
Optymistyczny;100000;25;Universal;Linear;0.781;1.270;0.488;1.270;;;;;;;;;
Optymistyczny;100000;25;Universal;Quadratic;0.517;1.270;0.462;1.270;;;;;;;;;
Optymistyczny;100000;25;Universal;RobinHood;0.779;1.270;0.432;1.270;;;;;;;;;
Optymistyczny;100000;25;Universal;SeparateChain;2.813;0.270;4.315;1.270;;;;;;;;;
Optymistyczny;100000;25;Universal;TwoChoice;0.544;0.043;0.618;1.322;;;;;;;;;
Optymistyczny;100000;50;Modular;Linear;21.262;250.500;31.586;250.500;;;;;;;;;
Optymistyczny;100000;50;Modular;Quadratic;13440.764;-17667.390;13707.376;-17667.390;;;;;;;;;
Optymistyczny;100000;50;Modular;RobinHood;148.364;250.500;31.068;250.500;;;;;;;;;
Optymistyczny;100000;50;Modular;SeparateChain;109.884;249.500;109.521;250.500;;;;;;;;;
Optymistyczny;100000;50;Modular;TwoChoice;0.823;3.125;0.583;2.067;;;;;;;;;
Optymistyczny;100000;50;Multiplicative;Linear;2.602;1.000;1.231;1.000;;;;;;;;;
Optymistyczny;100000;50;Multiplicative;Quadratic;1.157;1.000;0.755;1.000;;;;;;;;;
Optymistyczny;100000;50;Multiplicative;RobinHood;1.040;1.000;0.783;1.000;;;;;;;;;
Optymistyczny;100000;50;Multiplicative;SeparateChain;6.364;0.000;4.150;1.000;;;;;;;;;
Optymistyczny;100000;50;Multiplicative;TwoChoice;1.295;0.000;1.466;1.000;;;;;;;;;
Optymistyczny;100000;50;XOR+Shift;Linear;0.694;1.116;0.737;1.116;;;;;;;;;
Optymistyczny;100000;50;XOR+Shift;Quadratic;0.988;1.121;0.879;1.121;;;;;;;;;
Optymistyczny;100000;50;XOR+Shift;RobinHood;1.149;1.116;0.886;1.116;;;;;;;;;
Optymistyczny;100000;50;XOR+Shift;SeparateChain;5.158;0.069;3.500;1.069;;;;;;;;;
Optymistyczny;100000;50;XOR+Shift;TwoChoice;1.380;0.116;1.135;1.151;;;;;;;;;
Optymistyczny;100000;50;Universal;Linear;0.934;1.374;0.919;1.374;;;;;;;;;
Optymistyczny;100000;50;Universal;Quadratic;1.270;1.374;0.905;1.374;;;;;;;;;
Optymistyczny;100000;50;Universal;RobinHood;1.758;1.374;0.884;1.374;;;;;;;;;
Optymistyczny;100000;50;Universal;SeparateChain;5.689;0.374;4.361;1.374;;;;;;;;;
Optymistyczny;100000;50;Universal;TwoChoice;0.954;0.132;0.992;1.524;;;;;;;;;
Optymistyczny;100000;75;Modular;Linear;96.151;375.500;65.203;375.500;;;;;;;;;
Optymistyczny;100000;75;Modular;Quadratic;21109.188;21555.073;22080.461;21555.073;;;;;;;;;
Optymistyczny;100000;75;Modular;RobinHood;362.222;375.500;69.652;375.500;;;;;;;;;
Optymistyczny;100000;75;Modular;SeparateChain;264.175;374.500;258.113;375.500;;;;;;;;;
Optymistyczny;100000;75;Modular;TwoChoice;11.540;46.120;1.727;2.230;;;;;;;;;
Optymistyczny;100000;75;Multiplicative;Linear;2.156;1.000;1.163;1.000;;;;;;;;;
Optymistyczny;100000;75;Multiplicative;Quadratic;2.363;1.000;1.134;1.000;;;;;;;;;
Optymistyczny;100000;75;Multiplicative;RobinHood;1.842;1.000;0.636;1.000;;;;;;;;;
Optymistyczny;100000;75;Multiplicative;SeparateChain;5.300;0.000;2.974;1.000;;;;;;;;;
Optymistyczny;100000;75;Multiplicative;TwoChoice;2.008;0.000;1.475;1.000;;;;;;;;;
Optymistyczny;100000;75;XOR+Shift;Linear;2.011;4.274;1.723;4.274;;;;;;;;;
Optymistyczny;100000;75;XOR+Shift;Quadratic;1.741;1.833;1.734;1.833;;;;;;;;;
Optymistyczny;100000;75;XOR+Shift;RobinHood;5.347;4.274;2.502;4.274;;;;;;;;;
Optymistyczny;100000;75;XOR+Shift;SeparateChain;4.360;0.210;6.009;1.210;;;;;;;;;
Optymistyczny;100000;75;XOR+Shift;TwoChoice;2.399;3.274;1.420;1.491;;;;;;;;;
Optymistyczny;100000;75;Universal;Linear;1.481;1.593;0.835;1.593;;;;;;;;;
Optymistyczny;100000;75;Universal;Quadratic;1.891;2.872;1.795;2.872;;;;;;;;;
Optymistyczny;100000;75;Universal;RobinHood;3.025;1.593;1.320;1.593;;;;;;;;;
Optymistyczny;100000;75;Universal;SeparateChain;6.444;0.408;3.848;1.408;;;;;;;;;
Optymistyczny;100000;75;Universal;TwoChoice;1.464;0.428;1.493;1.680;;;;;;;;;
Optymistyczny;100000;90;Modular;Linear;64.886;450.500;57.255;450.500;;;;;;;;;
Optymistyczny;100000;90;Modular;Quadratic;29599.829;-13092.631;25666.439;-13092.631;;;;;;;;;
Optymistyczny;100000;90;Modular;RobinHood;528.195;450.500;92.339;450.500;;;;;;;;;
Optymistyczny;100000;90;Modular;SeparateChain;484.516;449.500;464.451;450.500;;;;;;;;;
Optymistyczny;100000;90;Modular;TwoChoice;29.753;106.032;2.189;2.322;;;;;;;;;
Optymistyczny;100000;90;Multiplicative;Linear;2.759;1.188;1.409;1.188;;;;;;;;;
Optymistyczny;100000;90;Multiplicative;Quadratic;2.538;1.794;1.681;1.794;;;;;;;;;
Optymistyczny;100000;90;Multiplicative;RobinHood;3.140;1.188;1.487;1.188;;;;;;;;;
Optymistyczny;100000;90;Multiplicative;SeparateChain;5.728;0.077;11.870;1.077;;;;;;;;;
Optymistyczny;100000;90;Multiplicative;TwoChoice;2.746;0.197;2.033;1.145;;;;;;;;;
Optymistyczny;100000;90;XOR+Shift;Linear;7.830;18.220;7.425;18.220;;;;;;;;;
Optymistyczny;100000;90;XOR+Shift;Quadratic;3.415;3.095;3.212;3.095;;;;;;;;;
Optymistyczny;100000;90;XOR+Shift;RobinHood;37.401;18.220;16.551;18.220;;;;;;;;;
Optymistyczny;100000;90;XOR+Shift;SeparateChain;13.965;0.283;10.445;1.283;;;;;;;;;
Optymistyczny;100000;90;XOR+Shift;TwoChoice;13.629;17.220;4.440;1.765;;;;;;;;;
Optymistyczny;100000;90;Universal;Linear;4.667;1.977;3.906;1.977;;;;;;;;;
Optymistyczny;100000;90;Universal;Quadratic;7.623;5.849;7.271;5.849;;;;;;;;;
Optymistyczny;100000;90;Universal;RobinHood;10.542;1.977;4.710;1.977;;;;;;;;;
Optymistyczny;100000;90;Universal;SeparateChain;23.005;0.420;10.594;1.420;;;;;;;;;
Optymistyczny;100000;90;Universal;TwoChoice;4.256;1.127;2.311;1.793;;;;;;;;;
Optymistyczny;100000;99;Modular;Linear;231.631;495.500;154.262;495.500;;;;;;;;;
Optymistyczny;100000;99;Modular;Quadratic;35929.680;-2811.483;30021.010;-2811.483;;;;;;;;;
Optymistyczny;100000;99;Modular;RobinHood;608.786;495.500;91.500;495.500;;;;;;;;;
Optymistyczny;100000;99;Modular;SeparateChain;460.514;494.500;444.131;495.500;;;;;;;;;
Optymistyczny;100000;99;Modular;TwoChoice;26.124;162.494;1.556;2.376;;;;;;;;;
Optymistyczny;100000;99;Multiplicative;Linear;2.754;1.575;1.777;1.575;;;;;;;;;
Optymistyczny;100000;99;Multiplicative;Quadratic;2.230;4.467;2.045;4.467;;;;;;;;;
Optymistyczny;100000;99;Multiplicative;RobinHood;3.396;1.575;1.825;1.575;;;;;;;;;
Optymistyczny;100000;99;Multiplicative;SeparateChain;7.239;0.131;3.958;1.131;;;;;;;;;
Optymistyczny;100000;99;Multiplicative;TwoChoice;1.576;1.635;1.274;1.270;;;;;;;;;
Optymistyczny;100000;99;XOR+Shift;Linear;7.414;41.163;7.616;41.163;;;;;;;;;
Optymistyczny;100000;99;XOR+Shift;Quadratic;2.727;5.202;2.775;5.202;;;;;;;;;
Optymistyczny;100000;99;XOR+Shift;RobinHood;57.884;41.163;18.428;41.163;;;;;;;;;
Optymistyczny;100000;99;XOR+Shift;SeparateChain;8.189;0.325;5.608;1.325;;;;;;;;;
Optymistyczny;100000;99;XOR+Shift;TwoChoice;8.267;40.163;1.756;1.902;;;;;;;;;
Optymistyczny;100000;99;Universal;Linear;1.999;6.316;1.910;6.316;;;;;;;;;
Optymistyczny;100000;99;Universal;Quadratic;3.856;8.487;2.986;8.487;;;;;;;;;
Optymistyczny;100000;99;Universal;RobinHood;8.807;6.316;3.883;6.316;;;;;;;;;
Optymistyczny;100000;99;Universal;SeparateChain;7.974;0.425;5.749;1.425;;;;;;;;;
Optymistyczny;100000;99;Universal;TwoChoice;4.222;7.698;2.655;1.874;;;;;;;;;
Œredni;10000;25;Modular;Linear;0.025;1.000;0.027;1.000;;;;;;;;;
Œredni;10000;25;Modular;Quadratic;0.025;1.000;0.029;1.000;;;;;;;;;
Œredni;10000;25;Modular;RobinHood;0.042;1.000;0.028;1.000;;;;;;;;;
Œredni;10000;25;Modular;SeparateChain;0.099;0.000;0.076;1.000;;;;;;;;;
Œredni;10000;25;Modular;TwoChoice;0.037;0.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Multiplicative;Linear;0.041;1.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Multiplicative;Quadratic;0.059;1.000;0.039;1.000;;;;;;;;;
Œredni;10000;25;Multiplicative;RobinHood;0.066;1.000;0.039;1.000;;;;;;;;;
Œredni;10000;25;Multiplicative;SeparateChain;0.162;0.000;0.136;1.000;;;;;;;;;
Œredni;10000;25;Multiplicative;TwoChoice;0.065;0.000;0.054;1.000;;;;;;;;;
Œredni;10000;25;XOR+Shift;Linear;0.025;1.000;0.027;1.000;;;;;;;;;
Œredni;10000;25;XOR+Shift;Quadratic;0.025;1.000;0.027;1.000;;;;;;;;;
Œredni;10000;25;XOR+Shift;RobinHood;0.029;1.000;0.027;1.000;;;;;;;;;
Œredni;10000;25;XOR+Shift;SeparateChain;0.098;0.000;0.077;1.000;;;;;;;;;
Œredni;10000;25;XOR+Shift;TwoChoice;0.036;0.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Universal;Linear;0.041;1.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Universal;Quadratic;0.059;1.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Universal;RobinHood;0.064;1.000;0.038;1.000;;;;;;;;;
Œredni;10000;25;Universal;SeparateChain;0.104;0.000;0.057;1.000;;;;;;;;;
Œredni;10000;25;Universal;TwoChoice;0.058;0.000;0.052;1.000;;;;;;;;;
Œredni;10000;50;Modular;Linear;0.055;1.000;0.060;1.000;;;;;;;;;
Œredni;10000;50;Modular;Quadratic;0.054;1.000;0.063;1.000;;;;;;;;;
Œredni;10000;50;Modular;RobinHood;0.072;1.000;0.054;1.000;;;;;;;;;
Œredni;10000;50;Modular;SeparateChain;0.220;0.000;0.206;1.000;;;;;;;;;
Œredni;10000;50;Modular;TwoChoice;0.073;0.000;0.077;1.000;;;;;;;;;
Œredni;10000;50;Multiplicative;Linear;0.045;1.000;0.042;1.000;;;;;;;;;
Œredni;10000;50;Multiplicative;Quadratic;0.047;1.000;0.045;1.000;;;;;;;;;
Œredni;10000;50;Multiplicative;RobinHood;0.048;1.000;0.042;1.000;;;;;;;;;
Œredni;10000;50;Multiplicative;SeparateChain;0.143;0.000;0.124;1.000;;;;;;;;;
Œredni;10000;50;Multiplicative;TwoChoice;0.047;0.000;0.049;1.000;;;;;;;;;
Œredni;10000;50;XOR+Shift;Linear;0.033;1.000;0.032;1.000;;;;;;;;;
Œredni;10000;50;XOR+Shift;Quadratic;0.037;1.000;0.036;1.000;;;;;;;;;
Œredni;10000;50;XOR+Shift;RobinHood;0.034;1.000;0.032;1.000;;;;;;;;;
Œredni;10000;50;XOR+Shift;SeparateChain;0.110;0.000;0.088;1.000;;;;;;;;;
Œredni;10000;50;XOR+Shift;TwoChoice;0.051;0.000;0.051;1.000;;;;;;;;;
Œredni;10000;50;Universal;Linear;0.047;1.000;0.043;1.000;;;;;;;;;
Œredni;10000;50;Universal;Quadratic;0.049;1.000;0.045;1.000;;;;;;;;;
Œredni;10000;50;Universal;RobinHood;0.052;1.000;0.044;1.000;;;;;;;;;
Œredni;10000;50;Universal;SeparateChain;0.137;0.000;0.118;1.000;;;;;;;;;
Œredni;10000;50;Universal;TwoChoice;0.055;0.000;0.055;1.000;;;;;;;;;
Œredni;10000;75;Modular;Linear;0.049;1.000;0.048;1.000;;;;;;;;;
Œredni;10000;75;Modular;Quadratic;0.055;1.000;0.055;1.000;;;;;;;;;
Œredni;10000;75;Modular;RobinHood;0.109;1.000;0.082;1.000;;;;;;;;;
Œredni;10000;75;Modular;SeparateChain;0.351;0.000;0.235;1.000;;;;;;;;;
Œredni;10000;75;Modular;TwoChoice;0.110;0.000;0.116;1.000;;;;;;;;;
Œredni;10000;75;Multiplicative;Linear;0.124;1.060;0.120;1.060;;;;;;;;;
Œredni;10000;75;Multiplicative;Quadratic;0.143;1.166;0.122;1.166;;;;;;;;;
Œredni;10000;75;Multiplicative;RobinHood;0.182;1.060;0.117;1.060;;;;;;;;;
Œredni;10000;75;Multiplicative;SeparateChain;0.517;0.033;0.402;1.033;;;;;;;;;
Œredni;10000;75;Multiplicative;TwoChoice;0.138;0.047;0.155;1.058;;;;;;;;;
Œredni;10000;75;XOR+Shift;Linear;0.074;1.000;0.082;1.000;;;;;;;;;
Œredni;10000;75;XOR+Shift;Quadratic;0.144;1.000;0.083;1.000;;;;;;;;;
Œredni;10000;75;XOR+Shift;RobinHood;0.088;1.000;0.082;1.000;;;;;;;;;
Œredni;10000;75;XOR+Shift;SeparateChain;0.414;0.000;0.411;1.000;;;;;;;;;
Œredni;10000;75;XOR+Shift;TwoChoice;0.110;0.000;0.115;1.000;;;;;;;;;
Œredni;10000;75;Universal;Linear;0.120;1.000;0.112;1.000;;;;;;;;;
Œredni;10000;75;Universal;Quadratic;0.128;1.000;0.113;1.000;;;;;;;;;
Œredni;10000;75;Universal;RobinHood;0.147;1.000;0.117;1.000;;;;;;;;;
Œredni;10000;75;Universal;SeparateChain;0.450;0.000;0.359;1.000;;;;;;;;;
Œredni;10000;75;Universal;TwoChoice;0.133;0.000;0.146;1.000;;;;;;;;;
Œredni;10000;90;Modular;Linear;0.089;1.000;0.097;1.000;;;;;;;;;
Œredni;10000;90;Modular;Quadratic;0.102;1.000;0.103;1.000;;;;;;;;;
Œredni;10000;90;Modular;RobinHood;0.106;1.000;0.097;1.000;;;;;;;;;
Œredni;10000;90;Modular;SeparateChain;0.290;0.000;0.159;1.000;;;;;;;;;
Œredni;10000;90;Modular;TwoChoice;0.181;0.000;0.163;1.000;;;;;;;;;
